,emotion,selection0,selection1,label
11188,"['happy', 'satisfied', 'glad', 'excited']",She found a lot of books used for cheap.,Brian had a baseball he loved to play with.,1
11189,"['hungry', 'surprised', 'wanting']",We watched a movie about Pee Wee to reminisce.,Something he never had was those sausages you would see.,1
11190,"['bored', 'annoyed']",The client was angry at the contractor for late delivery.,He was trying to hold it.,0
11191,"['foolish', 'scared', 'surprised']",And I slid into a snowbank.,"Although he was fine, there was a hole in the inflatable.",0
11192,"['determined', 'confused', 'lost', 'hopeful']",John decided to go look for meaning.,John was the best player on his school's tennis team.,0
11193,"['excited', 'enticed', 'hopeful', 'happy', 'exhausted', 'proud']",His wife wanted a son.,There were so many customers that everyone knew it was a success.,1
11194,"['happy', 'surprised', 'determined', 'accomplished', 'indifferent']",She became a concert musician and never thought of the guy again.,I bought a newspaper and checked out the classifieds for a place.,0
11195,"['relieved', 'intrigued', 'excited']",I decided to go as a chef.,She had so much clothes that she ran out of closet space.,0
11196,"['intrigued', 'excited']",They suspected the phone call was a distraction!,He finds out that a group on campus is taking a trip to Florida.,1
11197,"['responsible', 'grateful', 'hopeful', 'happy', 'scared', 'apprehensive']","Her family didn't notice, though, because Tula fit right in.",We kindly responded and they took us to the supervisor.,1
11198,"['happy', 'scared', 'embarrassed', 'annoyed', 'surprised', 'intrigued', 'irritated', 'disgusted']",A lot of people looked at me then.,Alex became angry and scolded Cole.,0
11199,"['playful', 'determined', 'pleased']",He would build the covered wagon and I would pack for the long trip.,He put a potato in the oven.,0
11200,"['humorous', 'amused', 'playful']",She even neglected her hygiene.,He spoke to her in a deep voice.,1
11201,"['downhearted', 'lonely', 'sad']",He tries to ask her out.,Craig was wandering along the seashore after a breakup.,1
11202,"['sad', 'sadness']",They love cooking hotdogs and hamburgers at the park.,She started getting cancer on her face.,1
11203,"['miserable', 'ill', 'sweaty', 'unhappy', 'panicked']",Jack was fired for being late.,Along the way the bus broke down and the heat became unbearable.,1
11204,"['unsatisfied', 'upset', 'afraid']",When i woke up I was very unprepared.,His owners drove him to the park.,0
11205,"['determined', 'motivated', 'focused']",The local critic came to sample food from him.,Bill left and bought his clothes.,1
11206,"['concerned', 'sad', 'concern']",The general told did not recommend this.,When she asked him he wouldn't tell her the problem.,1
11207,"['fear', 'terrified', 'scared']",He was very scared.,"Later, I found ground meat in the freezer labeled chocolate.",0
11208,"['ashamed', 'sad', 'embarrassed', 'disgusted', 'jealous', 'angry', 'hostile', 'bullying']","The other kids were not impressed though, and called him teachers pet.","Along the trail, she twisted her ankle.",0
11209,"['happy', 'tired', 'satisfied', 'proud', 'relieved']","At the end of the party, the kids went home for the day.",He could not find any open seat so he stood.,0
11210,"['unenthusiastic', 'uninterested']",Davis never liked the idea of fishing.,The owner was glad it wasn't something more serious.,0
11211,"['upset', 'happy', 'sad']",Kate was grounded for a week as a result.,Flora was an alcoholic so she lost custody.,0
11212,"['upset', 'uncomfortable', 'scared', 'confused']",Tara went to her ten year high school reunion.,After reading the label she chickened out.,1
11213,"['rushed', 'disappointed', 'nervous', 'embarrassed', 'surprised']",She had to make an emergency trip to the school to sign another.,Pauline often worked with chemicals.,0
11214,"['confident', 'determined', 'tired']",He swum from the morning to the night.,She wouldn't speak a word but just continued to stare out the window.,0
11215,"['mischievous', 'sweating', 'hot']",His mother smoked while she was pregnant and Dana has defects.,The woman took off her shirt.,1
11216,"['sad', 'insecure']",Martha was very insecure with herself,He then tore it apart and put the legos with all the others.,0
11217,"['disgusted', 'anxious', 'playful', 'pride', 'accomplished', 'dead']",The woman demanded its return.,He came back with a mouse.,1
11218,"['disappointed', 'annoyed', 'irritated', 'disturbed']",His friends were especially irritated by the lights he put up.,Ryan went outside to see what the noise was.,0
11219,['distressed'],"When the band manager came in, he went straight to me.",He planted as many flowers as he could.,0
11220,"['loved', 'happy', 'overjoyed']","Nobody recognized it, so he adopted it himself.",The person he hit died a few days later.,0
11221,"['relaxed', 'lucky', 'happy']",He saw a competition from a soda company.,Viola had always loved working with her hands and making things.,1
11222,"['sad', 'embarrassed', 'obsessed']",She neglected spending time with her husband.,He was unable to click anything.,0
11223,"['sad', 'positive', 'disgusted']",I just wanted to stop working and go home.,Tom took a grand road trip and saw the country.,0
11224,"['proud', 'nostalgic', 'accomplished', 'determined']",Years later my son picked it up and taught himself how to play.,I started working.,0
11225,"['depressed', 'hurt', 'disgust', 'insensitive']",Her brother laughed insultingly at the picture.,The artists all cheered for not losing.,0
11226,"['proud', 'nervous', 'determined', 'nostalgic']",The bow he picked up to shoot with was from his father.,She was not afraid of anyone or anything.,0
11227,"['grateful', 'inadequate', 'hopeful']",There was also a skinny guy who wanted some advice on weightlifting.,Lisa wrote the administrators of this league.,0
11228,"['safe', 'secluded', 'unique']",My aunt lives on an island in Lake Michigan.,She was offered a babysitting job for $40 a week.,0
11229,"['unhappy', 'embarrassed']",She was nervous because she'd never had short hair before.,The system indicated that there's no balance on the card.,1
11230,"['fatigued', 'content']",They set up their kayaks and climbed in to begin their trek.,She checked out and started to leave.,1
11231,"['disappointed', 'bored', 'frustrated', 'angry']",She used it happily until the battery died an hour later.,Surprisingly enough I did a good job.,0
11232,"['anxious', 'nervous']",Ken was on the last hole of the course.,The tow truck driver was able unlock the car.,0
11233,"['happy', 'glad', 'elated', 'loving', 'content']",Beth is baking cookies for her daughter's party.,My phone didn't appear to be anywhere and I looked constantly.,0
11234,"['disappointed', 'ashamed', 'embarrassed', 'unhappy']",He introduced a terrible open world PvP zone.,Sue's doctor told her she needed to wear glasses.,1
11235,"['irritated', 'whine', 'panic', 'frustrated', 'sympathetic']",Ronald had a bag that meant a lot to him.,"The child started whining, flailing her arms.",1
11236,"['relieved', 'happy', 'dutiful', 'caring', 'help']",She had to make a collage.,He said he would get food.,1
11237,"['worried', 'sad', 'disappointed', 'helpful']",The doctor told her she had high blood pressure.,He never could get control of a bouncing ball.,0
11238,"['sad', 'upset', 'positive']",Nora was devastated!,He aced the audition.,0
11239,"['grateful', 'happy']",Amanda was happy she had dressed appropriately for the weather.,He was a funny man and wanted to host a show.,0
11240,"['confused', 'sad']",He learned that they were playing nearby.,She was very upset and started to cry.,1
11241,"['happy', 'surprise', 'joyful', 'determined', 'anxious']","Looking around, John spotted his golf clubs.",The dog was big and gray.,0
11242,"['annoyed', 'frustrated', 'horrified', 'anxious']",Jane kept making him stop.,The farmer there gave me a nice tour.,0
11243,"['competent', 'helpful']",I used to work at a domestic violence shelter.,He got a speeding ticket.,0
11244,"['happy', 'affectionate']",Shawn falls in love with the dog at the store.,Timmy believed in Santa Claus.,0
11245,"['pain', 'disheartened']",Lester notices that his feet are beginning to hurt.,So they roasted marshmallows.,0
11246,"['happy', 'loved', 'excited', 'pumped']",Kaya and her dad went to play paintball one afternoon.,"In the morning, she realized Teddy wasn't inside.",0
11247,['joyful'],It was so exciting!,Her parents brought her to her appointment regardless.,0
11248,"['hopeful', 'delighted', 'curious']",Ara was given a solo in the school concert.,He found out that his neighbor made great apple pies.,1
11249,"['overjoyed', 'relieved', 'grateful', 'happy', 'hopeful', 'proud']",She picked up her doll and gave it a big hug.,Stan was relieved when the doctors said his dad would be okay.,1
11250,"['excited', 'proud']",Alicia was hungry and wanted to go out.,He made an announcement at the reunion.,1
11251,"['great', 'excited', 'confident', 'pride', 'winner', 'pleasure']",Gary had dreams of playing professional football.,He always beat everyone he played.,1
11252,"['frustrated', 'annoyed']",She was happy with her decision.,"He sighed, knowing he'd have to stop his truck for the night.",1
11253,"['surprised', 'hurt', 'angry', 'vindictive']",Dan and his girlfriend were glad they were getting a larger bed.,Beth hit the girl back and a fight broke out.,1
11254,"['excited', 'motivated', 'responsible']",Kia hit the mean girl in the nose and no one ever bullied her again.,She drove over to the bank and got a debit card.,1
11255,"['exhausted', 'happy']",Tom came home after a long road trip.,Anna's teacher worked with her a lot after school.,0
11256,"['reliable', 'frustrated', 'angry', 'disappointed', 'powerful', 'surprise', 'stupid', 'confused']",Her mom encouraged her to go anyways.,Her grandma was silent and gave her a meaningful look.,1
11257,"['awesome', 'protective', 'dominant']",They called them almost s'mores.,Brad lead her out of the crypt and hugged her until she was calm.,1
11258,"['crafty', 'smart', 'hopeful', 'optimistic']",The decided to raise money through an internet campaign.,I immediately fell asleep when I got home.,0
11259,"['amused', 'justified', 'remorseful', 'frustrated', 'hopeful']",His ex girlfriends calls and says she made a terrible mistake.,I want to stay with him forever.,0
11260,"['excited', 'fun']",Ella planned a party for her birthday.,She contemplated quitting.,0
11261,"['happy', 'joy']",John had an exciting day playing golf.,Rich sang along to every song.,1
11262,"['determined', 'anticipation']",He began his climb.,She made the bread according to an online receipe.,0
11263,"['content', 'relaxed']",He was on a boat fishing for deep sea fish.,Everyone laughed when Ron beat him.,0
11264,"['irritated', 'incompetent']",His dad had been very strict about him knowing all the rules.,Tim was really bad at pairing up his socks.,1
11265,"['angry', 'annoyed', 'upset']","At the end, Mary was paid and went home for the evening.",He talked to her boss about it.,1
11266,"['nervous', 'aggravated', 'worried', 'apprehensive']",Tom cooked it an extra amount of time.,"At the store, they choose a king sized pillow top bed.",0
11267,"['amazed', 'interested', 'delighted']","One day, a businessman joined his group during a picnic.",He had brought his metal detector.,0
11268,"['happy', 'motivated', 'crafted']",Jason practiced his song on his guitar many times.,She became really sad.,0
11269,"['great', 'excited', 'interested']",She wanted the school to be the perfect fit for her.,Suddenly he spotted some cool little rock pools.,1
11270,"['excited', 'surprised', 'happy', 'exited']",It was raining and she only had sandals on.,"He was so deep he shot a 3 pointer, he made it, they won!",1
11271,"['thrilled', 'ecstatic', 'joyful', 'joyous', 'happy', 'surprised']","Kellie was so thrilled and joyful, she screamed out loud!",The doctor told me I needed more self esteem.,0
11272,"['satisfied', 'happy', 'grateful']",Mark decided the tour would be an awesome start to the day.,The watch was 5 minutes slow but worked.,1
11273,"['happy', 'mad', 'frustrated', 'disgusted', 'annoyed', 'elated']",They both froze in fear.,Mary was watching her toddlers play when they got into some dirt.,1
11274,"['helpful', 'relieved', 'nervous']",Gina has to take her dog to the animal hospital.,Sam was able to complete his performance with his friend's guitar.,1
11275,"['supportive', 'excited', 'sympathetic', 'informative', 'proud', 'glad', 'happy', 'interested', 'grateful', 'embarrassed']",I had to show her how to hold the ball.,He decided to bring some to work for everyone to try.,0
11276,"['nervous', 'anxious']",We weren't sure about the time so we showed up very early.,Then she rocketed into the sky.,1
11277,"['ashamed', 'embarrassed']",And decided to do so right on the show floor.,Andy recently graduated from college with his degree in art.,0
11278,"['ambitious', 'creative', 'frustrated']",It was a farm.,Louise was trying to write a song.,1
11279,"['fine', 'proud', 'positive']",I've excelled at school with ease.,She had put salt instead of sugar.,0
11280,"['disappointed', 'angry', 'livid', 'sadness', 'sad', 'exhausted', 'groggy']",It was the opposite for the clown never came he got too drunk.,She did not know anyone and felt very lonely at times.,0
11281,"['excited', 'entertained', 'pleased', 'happy']",Sally and Doug played a game in their living room.,She started cooking and selling plates.,0
11282,"['hopeful', 'confident', 'flirtatious', 'joy', 'happy']",Oh Halloween she have them matching costumes - Aquaman costumes!,He offered to buy her a drink.,1
11283,"['jealous', 'anger', 'disappointed', 'accomplished', 'happy', 'proud', 'positive']",Last year Ryan had the highest marks.,He found the sinks clogged with weeks' worth of oatmeal.,0
11284,"['accomplished', 'satisfied', 'proud']",Tom owned a tuna farm.,Billy and Joe left for vacation yesterday.,0
11285,"['excited', 'joyful', 'happy']",His business picked up tremendously.,Rick and Pat went on a road trip for a month.,1
11286,"['afraid', 'upset']",So he searched for an Italian restaurant.,The car slid to a stop.,1
11287,"['upset', 'angry', 'tense', 'annoyed']",The police arrived on the site.,Sheena had always wanted to be a boxer.,0
11288,"['anger', 'unfriendly', 'sad', 'angry', 'scared']",Tom fell into the shallow water but got up quickly and laughed.,"Suddenly, Zeus and Zeke didn't get along anymore.",1
11289,"['disappointed', 'uncertain']",She decided to switch and play the euphonium.,Right after going through that process he found his wallet.,0
11290,"['confident', 'nervous', 'competitive', 'anxious', 'jealous', 'hopeful']","Nobody recognized it, so he adopted it himself.",Joe and Jane were two candidates for a job.,1
11291,"['frustrated', 'scared', 'frustration']","Charles blackmailed Fred, who sold him his shares at a low price.",He was diagnosed with laryngitis.,1
11292,"['loved', 'happy', 'anxious']",He was able to purchase a new laptop.,Allie's boyfriend invited her to play some golf.,1
11293,"['proud', 'smart']",George was hungry.,He was good enough to get a scholarship for college.,1
11294,"['delighted', 'frugal', 'happy']",They took him to look at dogs.,Henry bought a discounted hat for $12.,1
11295,"['neglectful', 'sad']",But she had forgotten about it.,One day her husband got into a fight with her son.,0
11296,"['thrilled', 'proud', 'positive']",His dad was proud of him.,The first thing he noticed were brightly colored fish.,0
11297,"['joy', 'pleased', 'happy', 'loving', 'satisfied', 'content', 'playful', 'cats']",There was no one to help her so she picked a different brand.,"He was great with the children, and their cats.",1
11298,"['happy', 'proud', 'giving', 'grateful']",Katie told her mom about it and she bought it for it.,He immediately punched her in the face.,0
11299,"['sad', 'annoyed', 'depressed']",Colette was shopping one day.,Kayla was disappointed.,1
11300,"['ashamed', 'bad', 'hurt', 'positive', 'disappointed', 'disappointing']",The Sharks goalie was hurt and couldn't play.,Her mom gave her pizza.,0
11301,"['competent', 'accomplished', 'proud']",Susan's teacher was currently pregnant.,Charles graduated from college six years ago.,1
11302,"['happy', 'sporty']",Mike was a 28 year old man who wore diapers.,"He'd throw it against the garage wall, and catch it again.",1
11303,"['angry', 'guilty', 'confused', 'anger', 'stupid', 'mad']","He yelped in pain, then left the school and treated his injury.",He felt that he had been cheated.,1
11304,"['concerned', 'affectionate', 'lucky', 'embarrassed', 'resentful', 'excited', 'sympathetic', 'awkward']",Frank was humiliated by Ron in tether ball the other day in school.,A girl was standing in a nearby classroom doorway as I picked them up.,1
11305,"['overjoyed', 'elated']",At the coffee shop he orders a coffee.,The perfect wave came towards me and I rode it happily to shore.,1
11306,"['surprised', 'fine', 'disgusted']","One day while laying in his resting bed dying, he saw a man.",Riding the bike with her knees around her ears she got to work on time.,0
11307,"['shocked', 'scared', 'relieved', 'terrified', 'guilty', 'ashamed', 'intoxicated', 'anxiety', 'annoyed', 'determined']",The officers ended up having to subdue him.,One morning he realized the freezers weren't working.,0
11308,"['sad', 'disenfranchised', 'depressed']",He heads to the bar to feel better.,My friends and I had fun in our new clubhouse.,0
11309,"['cool', 'lazy']",He accosted me more and more over two years.,Tim just socks that didn't match instead.,1
11310,"['embarrassed', 'exhausted', 'creative']","So awkward, that her wedding pictures looked miserable.",So we took a black sharpie and colored the back of his ears.,1
11311,"['excited', 'happy', 'educated', 'intrigued']",We went online to look at games.,Tim was delighted to show her his moves.,1
11312,"['shocked', 'startled']",He pulled up the fish.,"He dropped it with a yelp, surprised as the insect was itself.",1
11313,"['sad', 'guilty', 'happy', 'anxious', 'competent', 'anticipation']",Bea begged her mom for a puppy.,"Then, he went out of town on a business trip.",1
11314,"['happy', 'loved', 'satisfied', 'friendly']",The collie was a friendly and sweet dog.,Then Joe remembered some fast food places still served breakfast.,0
11315,"['delighted', 'carefree', 'happy']",They started eating their hot dog lunches.,He especially loved it when it was muddy.,1
11316,"['anxious', 'ready', 'nervous', 'confident']",She practiced all week.,"By time they came in, the shakes were almost melted.",0
11317,"['sorry', 'disheartened', 'sad', 'devastated']","In fact, she prefers to leave and be alone for awhile.",He came home feeling very sad.,0
11318,"['enjoyment', 'happy', 'determined', 'accomplished']","It was checkers, and they both were good.",Janet was not a cat person until one night.,0
11319,"['helpful', 'honorable', 'friendly', 'affectionate', 'grateful', 'embarrassed']",Jessi wanted to lose weight.,I told her discretely.,1
11320,['relieved'],This soup was definitely going to make me feel better.,Pam's sister watched the kids until she got home.,0
11321,['emotional'],Miles encoded the Germans war code.,My wife works all day and is busy at night with chores.,0
11322,"['knowledgeable', 'happy']",Mark really enjoyed looking at pictures of tigers.,He worked every day for three weeks.,0
11323,"['excited', 'anticipation', 'scared']",We both remembered watching it as kids.,He had his first professional match.,1
11324,"['loving', 'happy', 'grateful', 'loved']","Baking, present wrapping, and more was all getting done.",Carlin was enjoying the day after Thanksgiving with her family.,1
11325,"['anger', 'superior', 'angry', 'fear', 'upset']",Eli was fighting against the local school board.,She found some great cufflinks.,0
11326,"['normal', 'satisfied', 'happy', 'joy']",Bert knew there was nothing that could stop him from continuing.,They started eating their hot dog lunches.,1
11327,"['excited', 'adventurous', 'energized', 'hyper', 'bored']",He was a detective with the police department.,They decided to run around in a hotel.,1
11328,"['excited', 'restless']",The lady was upset there were only 10 available.,They were waiting for the parade to start.,1
11329,"['sad', 'bored', 'disappointed', 'tired', 'afraid']",My wife had to work all day.,I wanted to go see a show in town.,0
11330,['festive'],She decorates the house full of cheer.,So he ate bugs and screws to shock his friends.,0
11331,"['frustrated', 'content', 'aggravated']","After Cole was picked up, Alex decided to watch a movie by himself.",The glass fell and shattered on the ground.,0
11332,"['tired', 'responsible', 'disgusted', 'sorrowful']",Kay tried to call Beth back but there was no answer.,He drove around every morning to collect trash.,1
11333,"['sad', 'positive']",Jennifer is upset but understand and gets to studying.,The man was accused of murdering his own family.,0
11334,"['curious', 'awe', 'imaginative']",It was dark and cold.,I saw a locomotive driving by and took photos.,1
11335,"['impatient', 'bored', 'frustrated', 'upset']",We ended up having to wait hours.,Caleb borrowed the game from a friend.,0
11336,"['happy', 'pleased']",She was able to meet many new friends and experience a new culture.,Frank and his family still had fun that day.,1
11337,"['scared', 'pissed']","When she was moving towards one, another car came through.",She had no choice but to return it and get another computer.,0
11338,"['happy', 'content', 'helpful', 'relieved', 'embarrassed', 'humiliated']",I set the table and we all ate good.,A friend offered to pay and everything turned out okay.,1
11339,"['frustrated', 'disgust', 'confuse', 'angry']",I mostly listened in at the yelling.,They played until they were tired.,0
11340,"['confused', 'proud', 'egotistical', 'thrilled', 'pride']",She is proud.,She was so sick from the heat when she got there.,0
11341,"['nervous', 'anxious', 'worried']",I took my daughter to the tory store today.,Zach had to shoot the clock was running out!,1
11342,"['excited', 'pleasure', 'oblivious']",Brendan went to buy a toy for his nephew.,"He stood and it all came together, he was riding the wave.",0
11343,"['disappointed', 'upset']",My friend just had a new baby.,But both grocery stores were sold out of tortillas!,1
11344,"['frightened', 'nervous', 'scared', 'spooked', 'disturbed', 'anxious', 'fearful', 'amused']",She was swinging.,John was pretty shaken up by the content of the movie.,1
11345,"['irritation', 'nervous', 'rejected', 'accomplished', 'obeyed', 'annoyed', 'grave', 'down']",They informed me that I had to leave.,Roy rolled the best dough out of everyone he knew.,0
11346,"['relieved', 'accomplished', 'happier', 'surprised']",Soon the computer had been checked for viruses and cleaned.,Anna got the same lunch every day - bologna and carrots.,0
11347,"['sad', 'frustrated', 'bad', 'worried', 'concerned', 'angry']",A red sock had been hidden in the load and dyed the clothes.,Kim was upset that she couldn't find her camera anywhere.,1
11348,"['good', 'helpful', 'productive']",Everyone in Victor's life gave him a really hard time for his long hair.,All my kids had to go to the bathroom so I went to get snacks alone.,1
11349,"['mischievous', 'cheeky']",He went inside the front door and it was so dark.,Bill always loosened the cap on the salt shaker in restaurants.,1
11350,"['angry', 'sad']","Appalled at her selfishness, I remained bitterly silent.",He had a sudden impulse to steal the car.,0
11351,"['sad', 'disillusioned']",And he had no way to express himself.,The police vowed to find her bag for her.,0
11352,"['disorganized', 'anticipation']",He thought it was going to be worse than what it actually was.,Robert needed a calendar to organize his time.,1
11353,"['irritated', 'disappointed', 'unhappy', 'satisfied']",Andy settled with munching on raw cereal.,"Little Joe and his teddy bear, Tubby, were inseparable best friends.",0
11354,"['exhausted', 'happy', 'silly']",He was dancing with friends.,Tom got frustrated and angry.,0
11355,"['satisfied', 'accomplished', 'happy']","Once the artist was done, Martin looked in the mirror and liked it.",She noticed one grey hair.,0
11356,"['proud', 'accomplished', 'optimistic']","Then, he used that money to start a data consulting business.",Kevin wanted to lose weight.,0
11357,"['panicked', 'shock', 'shocked', 'surprise', 'sad']",His eyes lit up with joy when he saw his best friend instead.,It slamming down on to the plywood caused the turkey to fly upwards.,1
11358,"['nervous', 'confused', 'insulted', 'intrigued']",Jasmine didn't get a part in the show.,Kia thought the menu choices were strange and foreign.,1
11359,"['embarrassed', 'tired', 'stupid', 'scared', 'annoyed', 'disappointed', 'angry']",Her teacher saw Holly napping.,Lindsay had a day off and wanted to go to the park.,0
11360,"['ashamed', 'embarrassed', 'angry']","Thankfully she made it safe,",He was very embarrassed.,1
11361,"['worried', 'fear']","Of course I didn't know that, so when it happened I was very nervous!",It was a bit embarrassing.,0
11362,"['happy', 'interested']",I played speed chess on the internet this morning.,"Seeing that it closed late, the group got into a car and drove there.",0
11363,"['special', 'frustrated']",He tried chopping at it but it still stuck up too far.,He could smell nuances other couldn't.,1
11364,"['annoyed', 'upset', 'resentful', 'disappointed', 'angry', 'mischievous']",I did not want to give them to him.,Ryan's dog got out one night.,0
11365,"['relieved', 'fearful', 'scared', 'heartbreak', 'disappointment']",They hear loud noises and when the storm was over they came out.,I decided to just give up.,0
11366,"['productive', 'disgust', 'proud']",His nephew told him he was a spiderman fan.,Will began tracking his steps with the FitBit.,1
11367,"['helpless', 'alone', 'indifferent', 'sad', 'useless', 'distressed']",He had a very hard time reaching out to his friends for help.,She saw a lot of her old friends and classmates.,0
11368,"['smart', 'competent', 'intelligent']",One day the money ran out on this kind of thing.,"She would go to the local college for two years, then go out of state.",1
11369,"['happy', 'resourceful', 'determined']",Dan and his wife Mary went on a week's vacation.,"At these locations, he discovered very helpful evidence.",1
11370,"['disappointed', 'sad']",Danielle was really short on money.,She checked in the storeroom but they were sold out of her size.,1
11371,"['worried', 'hurt', 'scared', 'anxious']",Patty was nervous about marrying her fianc��.,She had been kicked out by her new husband and needed a place to stay.,0
11372,"['scared', 'sad', 'fear', 'surprised']",For the next three weeks I ate nothing but ham.,"Schools, homes and hospitals were wiped out.",1
11373,"['drowsy', 'joyful']",Tom was at the bar.,Her cat was stuck in a tree and wouldn't come down.,0
11374,"['sad', 'friendly', 'relaxed', 'surprised', 'relieved', 'happy', 'afraid']",The children immediately invited Jaden to play with them.,Brenda has a long successful career as a speech teacher.,0
11375,"['happy', 'proud', 'good', 'ecstatic']",They had a good time that day.,The bread and drinks were delivered late.,0
11376,"['cared', 'happy', 'loved']",She put on a sweater and turned up the heat.,"Lily has two white mice, Zeus and Zeke.",1
11377,"['excited', 'happy', 'adventurous']",Eventually I broke up with him because he wouldn't do it himself.,He gets on a plane and travels to India.,1
11378,"['betrayed', 'irritated', 'angry', 'hateful', 'mean', 'vindictive']",She always gossiped about other people and said ugly things.,Susie wanted her belly pierced.,0
11379,"['excited', 'anxious', 'anticipation', 'joy', 'happy', 'glad']",Until she discovered it didn't have microsoft windows installed.,"Each day, the kids left empty bowls of oatmeal in the sink.",1
11380,"['happy', 'satisfied', 'content']",I sat down and felt good about the job.,Sarah was happy that she was able to get a new pet.,0
11381,"['satiated', 'satisfied']",She was eating salsa while wearing a beautiful dress.,Sam stayed at a friend's house during his visit.,0
11382,"['stupid', 'embarrassed', 'displeased', 'guilty']",Ned had signed up his son to play tee ball.,Tim had to pay for the expensive antique.,1
11383,"['shocked', 'scared', 'concerned', 'horrified', 'terrified', 'surprised']",Then out of nowhere a snake struck at him!,"When she played abroad, everyone just took pictures of her.",0
11384,['distracted'],I saw a good wave and started paddling.,She got a bit sidetracked.,1
11385,"['worried', 'concerned', 'shocked', 'sad', 'desperate', 'panicked']",Her books fell all over the sidewalk.,He said that his property caught on fire and he needed my help.,1
11386,"['sad', 'connected']",Him and his father loved the Lakers.,I told my wife I was going to make pizza for dinner tonight.,0
11387,"['happy', 'accomplished', 'successful']",He doesn't know what to do about the bills.,My wife's family members attended.,1
11388,"['frustrated', 'annoyed', 'disgruntled']",I had no idea how I would pay Christmas bills.,I yell at my kids all the time to put the toothpaste cap back on.,1
11389,"['angry', 'loving', 'protecting', 'lonely', 'scared', 'grateful', 'relieved', 'happy']","Rick opened a window, and took the little cat home.",Jim Can't wait for his days off he thinks about it at work.,0
11390,"['bad', 'uninspired', 'disappointed']","He is terrified at first, but loves the adrenaline rush.",Halloween is coming around the corner and I don't have any plans.,1
11391,"['depressed', 'miserable']",My parents thought it was demonic.,One day he received word that cod prices had dipped.,1
11392,"['doubtful', 'determined', 'proud', 'not', 'concerned', 'encouraging']",Her family encouraged her to finish and get a diploma.,She started to cry.,0
11393,"['happy', 'hungry']",I had stayed at my friend's house longer than I was supposed to.,I stopped by McDonald's on the way home yesterday.,1
11394,"['unhappy', 'sad']",It took me over two hours to get them clean.,Cliff was recently divorced.,1
11395,"['proud', 'enjoyed', 'respectful', 'enamored', 'pro', 'cocky']",I moved to oklahoma with him.,Everyone looked up to him.,1
11396,"['proud', 'relieved']",The audience clapped for the trick.,One student collected all of the votes.,0
11397,"['accomplished', 'satisfied', 'happy', 'excited', 'thankful', 'grateful', 'proud']",Bonnie couldn't figure out what her sister was doing.,Bob ate the delicious home-cooked meal with his family.,1
11398,"['loving', 'joy']",When I was 15 my dad took my friend and I to see a Metallica concert.,"23 years later, she's my wife and we have two girls - and a boy.",1
11399,"['relaxed', 'comforted']",She liked to take a nice hot bath at the end of the day.,Lauren's mother even decorated the cake with candles.,0
11400,"['determined', 'competent']",All she did was cook at home.,Eric was a very hard working man.,1
11401,"['excited', 'joy', 'happy']",Lola wanted to give her friends scented lotions for Christmas.,There were black people there but they said nothing.,0
11402,"['poor', 'frugal', 'determined']",He didn't realize he used someone else's toothbrush.,He decided to go to a discount store.,1
11403,"['relieved', 'embarrassed', 'ashamed']",Zeke parked and relieved himself on the side of the road.,"He was so deep he shot a 3 pointer, he made it, they won!",0
11404,"['expensive', 'tasty', 'upset', 'happy']","Three months later, Vincent made it home!",Whole foods charges a small amount too.,1
11405,"['friendly', 'sad']",I made friends with a deaf woman who had a new baby.,"One dark night, he set the plan into action.",0
11406,"['deprived', 'disappointing', 'sad']",In 2015 she moved to Ohio where there was no Taco Bell in her town.,The baby settled in Chad's lap at the bottom of the stairs.,0
11407,"['excited', 'happy', 'joy']",Dexter and his baby brother Jason couldn't believe their eyes.,"To her shock and joy, Even accepted her offer quickly and gladly!",1
11408,"['content', 'calm', 'happy', 'adventurous']",One spring she set out to catch one of the frogs.,The banks had low rates.,0
11409,"['better', 'proud', 'satisfied']",He diligently clips each toenail until they are neat and trim.,"Then, Daniel was able to purchase his favorite sneakers.",0
11410,"['encouraged', 'awe', 'proud']",He prepared himself for anything.,He thought about what he could do with his ill-fitting clothes.,1
11411,"['accomplished', 'achieved']",He did his best and thought it looked alright.,"To her dad's surprise, Kaya won easily!",0
11412,"['love', 'caring', 'loved', 'trusting']",Allie could not afford it.,The neighbors treated the squirrel as if it was a pet.,1
11413,"['sick', 'worried', 'sad']",After lunch on the way home tom felt a tremble.,I took my son to the barbershop today.,0
11414,"['organic', 'free', 'happy', 'powerless']",She got rained on as she walked to work.,Now the plants get to grow as they want.,1
11415,"['sad', 'relieved', 'happy', 'anxious', 'nervous', 'hesitant', 'delighted', 'positive']",A prospective buyer came and made the owner an offer.,Rose was relieved when he finally returned back a few minutes later.,0
11416,"['elated', 'accomplished', 'ecstatic']","One day, I drove him home from school when his car broke down.","Finally, she found one that suited her perfectly.",1
11417,"['happy', 'loved', 'surprise', 'resolved', 'excited']",Her mom ended up grounding her as a result.,He decides he wants to adopt one.,1
11418,"['satisfied', 'excited', 'curiosity']",He doubled his vegetable production and started bagging.,He put it in his pocket to save for later.,1
11419,"['connected', 'joyful', 'laughing', 'excited', 'happy', 'enjoying', 'content']",Alex and his family went to a campground.,He falls in love with her and marries her.,0
11420,"['forgetful', 'embarrassed', 'stupid']",Amy kept locking her keys in her car.,Tara caught up with them all night.,0
11421,"['upset', 'embarrassed', 'sad']","Since class started in 10 minutes, I allowed him to copy my work.",Ann decided the best thing to do was confess the truth.,1
